1481,7.5
4571,7.1
2109,6.4
3825,6.9
1408,6.0
3349,6.8
3648,7.2
1441,7.7
213,7.0
3596,8.0
1908,4.1
1700,6.6
1947,6.1
64,7.9
2922,5.0
1512,6.8
1051,5.9
895,6.7
3698,4.8
2303,6.7
2490,5.7
4546,6.4
4586,7.5
3169,8.0
1920,6.9
1309,6.9
2363,6.7
3333,4.8
1491,6.9
3231,4.6
230,7.8
545,7.1
3203,5.3
2673,3.6
4455,6.5
2164,7.4
3254,6.3
1142,7.0
1222,6.2
3115,7.7
774,6.7
1103,6.3
1380,6.6
1877,6.5
4041,5.9
2919,5.1
650,5.1
3206,7.3
93,5.4
742,6.6
1560,6.6
3431,5.9
3168,5.6
3484,4.4
1004,6.4
4505,7.8
4287,7.4
2163,6.3
3600,7.4
1192,7.0
2402,6.3
3018,6.5
3867,5.9
2697,7.7
1182,5.8
1321,6.7
1686,6.9
3621,7.4
3244,7.3
4436,6.5
1989,6.6
3815,5.1
507,5.9
3247,7.2
77,7.6
1871,7.1
2379,5.8
2867,7.6
3735,7.0
396,5.6
1405,6.3
76,7.0
3015,5.6
4511,6.9
2820,7.1
4224,4.2
1555,7.5
4209,8.9
378,7.1
87,8.2
2848,2.8
2772,6.7
3599,6.8
3323,6.2
1224,4.0
1470,6.2
3645,7.3
4154,5.8
4477,7.1
4272,6.0
325,5.3
705,4.4
1387,6.2
745,6.0
3582,6.1
4096,5.4
2143,6.6
2215,6.0
3614,7.3
4008,8.3
2447,6.2
1334,7.7
4200,7.0
1773,6.7
1772,7.9
2272,5.7
547,5.3
522,6.6
1795,6.1
3144,5.7
686,7.0
125,5.1
4396,6.5
1601,6.3
1085,7.5
2574,5.5
424,8.1
3187,5.7
2559,6.9
4234,8.6
2313,4.4
4000,8.0
4400,7.4
724,6.3
2993,6.7
4414,7.0
558,6.0
1148,5.9
948,6.2
1391,6.6
1716,5.6
1049,6.4
3191,7.6
1184,7.1
1833,5.3
762,4.9
2598,4.9
345,6.8
2890,7.4
3416,6.4
3057,4.2
